OLD CENSUS,STATE,NEW_SHAPEFILE_NAME,New_Dashboard_Mapping,Population Matching
Adilabad,Andhra Pradesh,Adilabad;Kumuram Bheem Asifabad;Nirmal;Mancherial,Adilabad;Kumuram Bheem;Nirmal;Mancherial,Adilabad
Agra,Uttar Pradesh,Agra,Agra,Agra
Ahmadabad;Bhavnagar,Gujarat,Ahmadabad;Bhavnagar;Botad,Ahmedabad;Bhavnagar;Botad,Ahmadabad;Bhavnagar
Ahmadnagar,Maharashtra,Ahmadnagar,Ahmednagar,Ahmadnagar
Aizawl;Serchhip,Mizoram,Serchhip;Aizawl;Saitual,Serchhip;Aizawl East;Mamit,Aizawl;Serchhip
Ajmer,Rajasthan,Ajmer,Ajmer,Ajmer
Akola,Maharashtra,Akola,Akola,Akola
Alappuzha,Kerala,Alappuzha,Alappuzha,Alappuzha
Aligarh,Uttar Pradesh,Aligarh,Aligarh,Aligarh
Alirajpur,Madhya Pradesh,Alirajpur,Alirajpur,Alirajpur
Allahabad,Uttar Pradesh,Prayagraj,Prayagraj,Allahabad 
Almora,Uttarakhand,"Almora
",Almora,Almora
Alwar,Rajasthan,Alwar,Alwar,Alwar
Ambala,Haryana,Ambala,Ambala,Ambala
Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,Ambedkar Nagar
Amravati,Maharashtra,Amravati,Amravati,Amravati
Amreli,Gujarat,Amreli,Amreli,Amreli
Amritsar,Punjab,Amritsar,Amritsar,Amritsar 
Anand,Gujarat,Anand,Anand,Anand  
Anantapur,Andhra Pradesh,Anantapur,Anantapur,Anantapur
Anantnag,Jammu & Kashmir,Anantnag,Anantnag,Anantnag
Anjaw,Arunanchal Pradesh,Anjaw,Anjaw,Anjaw
Anugul,Odisha,Anugul,Angul,Anugul  
Anuppur,Madhya Pradesh,Anuppur,Anuppur,Anuppur
Araria,Bihar,Araria,Araria,Araria
Ariyalur,Tamil Nadu,Ariyalur,Ariyalur,Ariyalur  
Ashoknagar,Madhya Pradesh,Ashoknagar,Ashoknagar,Ashoknagar
Auraiya,Uttar Pradesh,Auraiya,Auraiya,Auraiya
Aurangabad;Aurangabad,Bihar,Aurangabad,Aurangabad,Aurangabad;Aurangabad
Azamgarh,Uttar Pradesh,Azamgarh,Azamgarh,Azamgarh
Badgam,Jammu & Kashmir,Badgam,Budgam,Badgam
Bagalkot,Karnataka,Bagalkote,Bagalkot,Bagalkot 
Bageshwar,Uttarakhand,Bageshwar,Bageshwar,Bageshwar
Baghpat,Uttar Pradesh,Baghpat,Baghpat,Baghpat
Bahraich,Uttar Pradesh,Bahraich,Bahraich,Bahraich
Baksa,Assam,Baksa,Baksa,Baksa
Balaghat,Madhya Pradesh,Balaghat,Balaghat,Balaghat
Balangir,Odisha,Balangir,Balangir,Balangir
Baleshwar,Odisha,Baleshwar,Balasore,Baleshwar
Ballia,Uttar Pradesh,Ballia,Ballia,Ballia
Balrampur,Uttar Pradesh,Balrampur,Balarampur,Balrampur
Banas Kantha,Gujarat,Banas Kantha,Banaskantha,Banas Kantha
Banda,Uttar Pradesh,Banda,Banda,Banda
Bandipore,Jammu & Kashmir,Bandipore,Bandipore,Bandipore
Bangalore Rural,Karnataka,Bengaluru Rural,Bangalore Rural,Bangalore Rural
Bangalore,Karnataka,Bangalore,Bangalore Urban,Bangalore
Banka,Bihar,Banka,Banka,Banka
Bankura,West Bengal,Bankura,Bankura,Bankura 
Banswara,Rajasthan,Banswara,Banswara,Banswara
Bara Banki,Uttar Pradesh,Bara Banki,Barabanki,Bara Banki
Bargarh,Odisha,Bargarh,Bargarh,Bargarh
Baramula,Jammu & Kashmir,Baramula,Baramulla,Baramula
Baran,Rajasthan,Baran,Baran,Baran
Barddhaman,West Bengal,Purba Bardhaman;Paschim Bardhaman,East Bardhaman;West Bardhaman,Barddhaman 
Bareilly,Uttar Pradesh,Bareilly,Bareilly,Bareilly
Barmer,Rajasthan,Barmer,Barmer,Barmer
Barnala,Punjab,Barnala,Barnala,Barnala
Barpeta,Assam,Barpeta,Barpeta,Barpeta
Barwani,Madhya Pradesh,Barwani,Barwani,Barwani 
Bastar,Chhattisgarh,Bastar;Kondagaon,Bastar;Kondagaon,Bastar
Basti,Uttar Pradesh,Basti,Basti,Basti
Bathinda,Punjab,Bathinda,Bathinda,Bathinda
Bauda,Odisha,Baudh,Boudh,Baudh
Begusarai,Bihar,Begusarai,Begusarai,Begusarai
Belgaum,Karnataka,Belagavi,Belgaum,Belgaum
Bellary,Karnataka,Ballari,Bellary,Bellary
Betul,Madhya Pradesh,Betul,Betul,Betul
Bhadrak,Odisha,Bhadrak,Bhadrak,Bhadrak
Bhagalpur,Bihar,Bhagalpur,Bhagalpur,Bhagalpur
Bhandara,Maharashtra,Bhandara,Bhandara,Bhandara
Bharatpur,Rajasthan,Bharatpur,Bharatpur,Bharatpur
Bharuch,Gujarat,Bharuch,Bharuch,Bharuch
Bhilwara,Rajasthan,Bhilwara,Bhilwara,Bhilwara
Bhind,Madhya Pradesh,Bhind,Bhind,Bhind
Bhiwani,Haryana,Bhiwani;Charki Dadri,Bhiwani;Charkhi Dadri,Bhiwani
Bhojpur,Bihar,Bhojpur,Bhojpur,Bhojpur
Bhopal,Madhya Pradesh,Bhopal,Bhopal,Bhopal
Bid,Maharashtra,Bid,Beed,Bid
Bidar,Karnataka,Bidar,Bidar,Bidar
Bijapur,Chhattisgarh,Bijapur,Bijapur,Bijapur
Bijapur,Karnataka,Vijayapura,Vijayapura,Bijapur
Bijnor,Uttar Pradesh,Bijnor,Bijnour,Bijnor
Bikaner,Rajasthan,Bikaner,Bikaner,Bikaner
Bilaspur,Chhattisgarh,Bilaspur;Mungeli,Bilaspur;Mungeli,Bilaspur
Bilaspur,Himachal Pradesh,Bilaspur,Bilaspur,Bilaspur
Birbhum,West Bengal,Birbhum,Birbhum,Birbhum
Bishnupur;Imphal East,Manipur,Imphal East;Imphal West;Bishnupur,Imphal East;Imphal West;Bishnupur,Bishnupur;Imphal East
Bokaro,Jharkhand,Bokaro,Bokaro,Bokaro
Bongaigaon,Assam,Bongaigaon,Bongaigaon,Bongaigaon
